id,title,description,category,brand,price,text
14219585," ""Apple - Mac Pro Desktop Computer 6-Core Intel® Xeon® Processor 16GB Memory 256GB Flash Storage Black""@en-US","""Apple Mac Pro MD878LL/A Desktop: Designed for professional movie editing, graphics work and multiple Ultra HD 4K displays, this impressive computer provides top-tier power and connectivity. The eye-catching body provides efficient, quiet cooling and fits easily on a desk.""@en-US ",Computers_and_Accessories,,," ""Apple - Mac Pro Desktop Computer 6-Core Intel® Xeon® Processor 16GB Memory 256GB Flash Storage Black""@en-US ""Apple Mac Pro MD878LL/A Desktop: Designed for professional movie editing, graphics work and multiple Ultra HD 4K displays, this impressive computer provides top-tier power and connectivity. The eye-catching body provides efficient, quiet cooling and fits easily on a desk.""@en-US "
12092252," ""DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS"", ""Null"" Price DG0300FARVV-2Pack"" ""New DG0300FARVV SAS 2 Pack Wholesale","""Description:2 x 300GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 507127-B21
Spare Part# 507284-001
Assembly Part# 518194-002
Model# DG0300FARVV"" ",Computers_and_Accessories,"""HP Enterprise""",," ""DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS"", ""Null"" Price DG0300FARVV-2Pack"" ""New DG0300FARVV SAS 2 Pack Wholesale ""Description:2 x 300GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 507127-B21
Spare Part# 507284-001
Assembly Part# 518194-002
Model# DG0300FARVV"" "
10693245," ""HP BL460c G7 Intel Xeon E5607 Processor Kit - Prijzen ""@NL Tweakers""@NL",,Computers_and_Accessories,,," ""HP BL460c G7 Intel Xeon E5607 Processor Kit - Prijzen ""@NL Tweakers""@NL "
2042153," ""MIO SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam"""," ""SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam""",Computers_and_Accessories,"""MIO""","""USD"", ""4.85"""," ""MIO SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam""  ""SD1GB-C230 BXP 1GB 9p SD Secure Digital Card 24x Used w/o Sandisk Label Clam"""
11210178," ""MSI - GeForce GTX 1080 8GB GAMING X 8G Video Card"" Card (GTX 8G) PCPartPicker Deutschland""",,Computers_and_Accessories,"""MSI""",," ""MSI - GeForce GTX 1080 8GB GAMING X 8G Video Card"" Card (GTX 8G) PCPartPicker Deutschland"" "
570909," ""48-32-4006"" "" Shop For Drill Bits. - Dale Electric Supply Co.","""Null"" ",Tools_and_Home_Improvement,"""
														MILWAUKEE ELECTRIC TOOL CORP.													""",," ""48-32-4006"" "" Shop For Drill Bits. - Dale Electric Supply Co. ""Null"" "
16637817," ""458418-B21 HP E5410 2.33GHz ML370 G5"", ""Null"" ""New 458418-B21 G5 Wholesale Price 458418-B21""","""Description:Intel Xeon E5410 ML370 G5(2.33GHz/4-core/12MB/80W) CPQFull Processor Option KitPart Number(s)Option Part# 458418-B21"" ",Computers_and_Accessories,"""HP Enterprise""",," ""458418-B21 HP E5410 2.33GHz ML370 G5"", ""Null"" ""New 458418-B21 G5 Wholesale Price 458418-B21"" ""Description:Intel Xeon E5410 ML370 G5(2.33GHz/4-core/12MB/80W) CPQFull Processor Option KitPart Number(s)Option Part# 458418-B21"" "
11957496," ""Asus Sabertooth X99""","""ASUS SABERTOOTH X99, DDR4-SDRAM, DIMM, 2133, 2400 MHz, Intel, Core i7, LGA 2011-v3"" ",Computers_and_Accessories,,," ""Asus Sabertooth X99"" ""ASUS SABERTOOTH X99, DDR4-SDRAM, DIMM, 2133, 2400 MHz, Intel, Core i7, LGA 2011-v3"" "
12347653," ""431786-B21 HP 120-GB 5.4K 2.5 SATA 5 Pack "" ""HP 431786-B21 Part# -431786-B21-5Pack""","""Description:5 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 431786-B21
Spare Part# 431908-001
Assembly Part# 443193-002
Model# FJ120C4981"" ",Computers_and_Accessories,"""HP Enterprise""","""USD"""," ""431786-B21 HP 120-GB 5.4K 2.5 SATA 5 Pack "" ""HP 431786-B21 Part# -431786-B21-5Pack"" ""Description:5 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 431786-B21
Spare Part# 431908-001
Assembly Part# 443193-002
Model# FJ120C4981"" "
857481," ""StarTech.com Ventilador de Repuesto para Disipador Procesador""@es ""HP Spectre One 23-e000es - Black Friday 2017 ""@es","""CAJA ORDENADOR 70X15MM TX3""@es ",Computers_and_Accessories,,," ""StarTech.com Ventilador de Repuesto para Disipador Procesador""@es ""HP Spectre One 23-e000es - Black Friday 2017 ""@es ""CAJA ORDENADOR 70X15MM TX3""@es "
